epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.4187,2.08691,3.7313,2.11581,0.2549,0.17593,0.2059,0.08173,2.34013,3.60996,2.31839,7.69e-06,7.69e-06,7.69e-06
2,24.5905,2.07326,3.85522,2.01494,0.25344,0.17593,0.20405,0.08072,2.36335,3.5874,2.33028,2.26893e-05,2.26893e-05,2.26893e-05
3,25.5439,2.10566,3.70175,1.98772,0.38413,0.26852,0.22866,0.09481,2.29319,3.5082,2.2602,3.71812e-05,3.71812e-05,3.71812e-05
4,26.9632,2.089,3.35858,1.94241,0.48784,0.30556,0.22669,0.10901,2.07359,3.22197,2.0358,5.11654e-05,5.11654e-05,5.11654e-05
5,28.619,1.82295,2.8024,1.7331,0.7606,0.30556,0.29346,0.15966,1.68404,3.08869,1.69842,6.46421e-05,6.46421e-05,6.46421e-05
6,29.8501,1.57309,2.46459,1.59844,0.77202,0.37971,0.4481,0.29102,1.3241,3.13456,1.42677,7.76113e-05,7.76113e-05,7.76113e-05
7,31.0337,1.51762,2.13024,1.54733,0.44114,0.63692,0.6833,0.43978,1.2219,2.96559,1.3013,9.0073e-05,9.0073e-05,9.0073e-05
8,32.173,1.56301,1.82111,1.43958,0.72461,0.69665,0.72887,0.46408,1.30211,2.67863,1.38625,0.000102027,0.000102027,0.000102027
9,33.3015,1.35826,1.64053,1.38762,0.75203,0.58564,0.67647,0.43085,1.40477,2.77033,1.48996,0.000113474,0.000113474,0.000113474
10,35.8244,1.39186,1.55005,1.40439,0.77152,0.64999,0.71317,0.44274,1.51058,2.90401,1.57946,0.000124413,0.000124413,0.000124413
11,36.8879,1.36003,1.44979,1.40036,0.79554,0.69491,0.81035,0.5082,1.57638,2.81941,1.63685,0.000134844,0.000134844,0.000134844
12,38.0609,1.30081,1.37556,1.31387,0.70362,0.9074,0.88805,0.51751,1.57849,2.5419,1.60874,0.000144768,0.000144768,0.000144768
13,39.284,1.30506,1.25472,1.31801,0.77909,0.89179,0.87497,0.53733,1.53463,2.20192,1.57103,0.000154185,0.000154185,0.000154185
14,40.8826,1.21374,1.15111,1.22176,0.80523,0.89674,0.94291,0.55716,1.47168,2.00266,1.50692,0.000163093,0.000163093,0.000163093
15,42.337,1.24493,1.26698,1.27156,0.89463,0.86823,0.95611,0.57499,1.43335,1.81072,1.46649,0.000171495,0.000171495,0.000171495
16,43.4826,1.14667,1.11872,1.20583,0.90467,0.88148,0.97667,0.58988,1.42082,1.64383,1.43104,0.000179388,0.000179388,0.000179388
17,44.5459,1.14513,1.1181,1.20769,0.78963,0.8742,0.90763,0.5551,1.50504,1.54989,1.4955,0.000186775,0.000186775,0.000186775
18,45.634,1.15123,1.02882,1.19848,0.72384,0.90622,0.88806,0.47095,1.59407,1.5432,1.58475,0.000193653,0.000193653,0.000193653
19,46.7071,1.09498,0.9991,1.19493,0.62857,0.88808,0.81946,0.44089,1.64906,1.62308,1.63473,0.000200025,0.000200025,0.000200025
20,47.7719,1.09711,0.93215,1.17233,0.61025,0.90124,0.82111,0.43559,1.66528,1.58523,1.64121,0.000205888,0.000205888,0.000205888
21,48.8682,1.09572,0.94641,1.17082,0.64668,0.92264,0.87994,0.51819,1.55849,1.34017,1.56924,0.000211244,0.000211244,0.000211244
22,49.9684,1.04114,0.84905,1.14941,0.67986,0.84057,0.86937,0.52544,1.55754,1.22899,1.5995,0.000216093,0.000216093,0.000216093
23,51.0414,1.05221,0.91246,1.17364,0.87353,0.77724,0.86453,0.51845,1.56954,1.17723,1.62618,0.000220434,0.000220434,0.000220434
24,52.2418,1.04678,0.88344,1.16783,0.72126,0.91491,0.88944,0.48791,1.6824,1.18825,1.74825,0.000224267,0.000224267,0.000224267
